Title,Year,Duration,Rating_Category,Ratings,Total_Votes
The Shawshank Redemption,1994,142.0,18+,9.3,2800000.0
The Godfather,1972,175.0,18+,9.2,2000000.0
The Dark Knight,2008,152.0,R,9.0,2800000.0
The Godfather: Part II,1974,202.0,18+,9.0,1300000.0
12 Angry Men,1957,96.0,SU,9.0,841000.0
Schindler's List,1993,195.0,R,9.0,1400000.0
The Lord of the Rings: The Return of the King,2003,201.0,A,9.0,1900000.0
Pulp Fiction,1994,154.0,17+,8.9,2200000.0
The Lord of the Rings: The Fellowship of the Ring,2001,178.0,R,8.8,2000000.0
"The Good, the Bad and the Ugly",1966,161.0,D,8.8,795000.0
Forrest Gump,1994,142.0,21,8.8,2200000.0
Fight Club,1999,139.0,D17+,8.8,2300000.0
The Lord of the Rings: The Two Towers,2002,179.0,A,8.8,1700000.0
Inception,2010,148.0,D,8.8,2500000.0
Star Wars: Episode V - The Empire Strikes Back,1980,124.0,PG,8.7,1400000.0
The Matrix,1999,136.0,18+,8.7,2000000.0
GoodFellas,1990,145.0,17+,8.7,1200000.0
One Flew Over the Cuckoo's Nest,1975,133.0,R,8.7,1100000.0
Se7en,1995,127.0,21,8.6,1800000.0
It's a Wonderful Life,1946,130.0,13+,8.6,482000.0
Shichinin no samurai,1954,207.0,Not Rated,8.6,360000.0
Interstellar,2014,169.0,R,8.7,2000000.0
The Silence of the Lambs,1991,118.0,D,8.6,1500000.0
Saving Private Ryan,1998,169.0,18+,8.6,1500000.0
City of God,2002,130.0,R,8.6,787000.0
Spider-Man: Across the Spider-Verse,2023,140.0,SU,8.7,299000.0
Life Is Beautiful,1997,116.0,21,8.6,728000.0
The Green Mile,1999,189.0,18+,8.6,1400000.0
Star Wars,1977,121.0,13+,8.6,1400000.0
Terminator 2: Judgment Day,1991,137.0,13+,8.6,1100000.0
Back to the Future,1985,116.0,13+,8.5,1300000.0
Spirited Away,2001,125.0,13+,8.6,819000.0
The Pianist,2002,150.0,R,8.5,887000.0
Psycho,1960,109.0,R,8.5,705000.0
Parasite,2019,132.0,17+,8.5,904000.0
Gladiator,2000,155.0,16+,8.5,1600000.0
The Lion King,1994,88.0,PG,8.5,1100000.0
Léon,1994,110.0,R,8.5,1200000.0
American History X,1998,119.0,R,8.5,1200000.0
The Departed,2006,151.0,R,8.5,1400000.0
Whiplash,2014,106.0,16+,8.5,946000.0
The Prestige,2006,130.0,17+,8.5,1400000.0
The Usual Suspects,1995,106.0,R,8.5,1100000.0
Hotaru no haka,1988,89.0,Not Rated,8.5,299000.0
Seppuku,1962,133.0,Not Rated,8.6,65000.0
Casablanca,1942,102.0,PG,8.5,595000.0
Intouchables,2011,112.0,R,8.5,906000.0
Modern Times,1936,87.0,G,8.5,254000.0
Nuovo Cinema Paradiso,1988,155.0,PG,8.5,276000.0
Once Upon a Time in the West,1968,166.0,PG-13,8.5,344000.0
Rear Window,1954,112.0,PG,8.5,512000.0
Alien,1979,117.0,17+,8.5,928000.0
City Lights,1931,87.0,G,8.5,193000.0
Apocalypse Now,1979,147.0,R,8.4,697000.0
Django Unchained,2012,165.0,21+,8.5,1700000.0
Memento,2000,113.0,R,8.4,1300000.0
Raiders of the Lost Ark,1981,115.0,PG,8.4,1000000.0
WALL·E,2008,98.0,SU,8.4,1200000.0
Oppenheimer,2023,180.0,13+,8.5,507000.0
Das Leben der Anderen,2006,137.0,R,8.4,404000.0
Sunset Blvd.,1950,110.0,Passed,8.4,232000.0
Paths of Glory,1957,88.0,Approved,8.4,208000.0
Avengers: Infinity War,2018,149.0,13+,8.4,1200000.0
The Shining,1980,146.0,21,8.4,1100000.0
The Great Dictator,1940,125.0,G,8.4,234000.0
Witness for the Prosecution,1957,116.0,Approved,8.4,134000.0
Spider-Man: Into the Spider-Verse,2018,117.0,SU,8.4,641000.0
Aliens,1986,137.0,17+,8.4,748000.0
Inglourious Basterds,2009,153.0,17+,8.4,1500000.0
The Dark Knight Rises,2012,164.0,R,8.4,1800000.0
American Beauty,1999,122.0,21,8.3,1200000.0
Dr,1964,95.0,PG,8.4,510000.0
Oldboy,2003,120.0,17+,8.4,617000.0
Coco,2017,105.0,SU,8.4,565000.0
Amadeus,1984,160.0,PG,8.4,420000.0
Toy Story,1995,81.0,SU,8.3,1000000.0
Das Boot,1981,149.0,Not Rated,8.4,260000.0
Braveheart,1995,178.0,21,8.3,1100000.0
Avengers: Endgame,2019,181.0,13+,8.4,1200000.0
